rank_director;director;box_office_director;movies_director;average_director
350;Mimi Leder;506,957,871;7;72,422,553
351;Andy Serkis;506,468,842;4;126,617,211
352;Steve Hickner;506,207,765;2;253,103,883
353;Jean-Jacques Annaud;505,659,323;11;45,969,029
354;Haruo Sotozaki;505,418,805;5;101,083,761
355;Darren Lynn Bousman;496,799,743;13;38,215,365
356;Alexander Payne;494,227,827;11;44,929,802
357;Daniel Espinosa;490,916,774;6;81,819,462
358;Herman Yau;490,281,660;13;37,713,974
359;Walter Hill;487,448,121;22;22,156,733
360;John Moore;486,607,662;6;81,101,277
361;David Bowers;485,528,590;7;69,361,227
362;Dominic Sena;485,499,998;5;97,100,000
363;Sharon Maguire;485,200,756;3;161,733,585
364;Tate Taylor;484,474,252;8;60,559,282
365;Mark Dindal;483,262,998;4;120,815,750
366;Gus Van Sant;478,713,203;17;28,159,600
367;Jon Amiel;474,809,599;8;59,351,200
368;Mark Steven Johnson;474,487,895;9;52,720,877
369;George Cukor;473,646,416;11;43,058,765
370;Penny Marshall;471,716,719;8;58,964,590
371;Nick Park;471,674,959;5;94,334,992
372;Andy Muschietti;469,566,806;3;156,522,269
373;Daniel Lee;466,683,685;6;77,780,614
374;Han Yan;466,655,662;5;93,331,132
375;Neil Jordan;464,814,406;18;25,823,023
376;Brian Robbins;464,734,306;10;46,473,431
377;Xiaogang Feng;463,738,542;6;77,289,757
378;Joseph Ruben;463,461,326;10;46,346,133
379;Greg Tiernan;461,620,914;5;92,324,183
380;Robert Redford;460,681,656;9;51,186,851
381;Patrick Hughes;460,615,513;5;92,123,103
382;Terry Gilliam;458,957,343;12;38,246,445
383;Edgar Wright;458,592,635;8;57,324,079
384;Les Mayfield;454,924,803;8;56,865,600
385;Tony Gilroy;454,423,137;3;151,474,379
386;Joon-ho Bong;454,179,912;8;56,772,489
387;Wolfgang Reitherman;453,834,257;6;75,639,043
388;Peter Chelsom;453,308,189;12;37,775,682
389;David R. Ellis;452,842,101;6;75,473,684
390;Joe Dante;452,558,552;17;26,621,091
391;Dean Parisot;451,830,588;5;90,366,118
392;Olivier Megaton;450,102,666;4;112,525,667
393;Chirs Buck;448,191,819;1;448,191,819
394;Eric Brevig;447,955,627;2;223,977,814
395;Paul King;445,162,741;4;111,290,685
396;Chloé Zhao;445,147,655;4;111,286,914
397;Michael Dougherty;445,088,308;3;148,362,769
398;George Roy Hill;442,397,671;12;36,866,473
399;S.S. Rajamouli;440,300,995;3;146,766,998
400;Ariel Schulman;439,792,275;7;62,827,468
401;Henry Joost;439,792,275;7;62,827,468
402;Roman Polanski;436,710,511;20;21,835,526
403;Stephen Hopkins;436,549,629;11;39,686,330
404;Blake Edwards;436,133,410;27;16,153,089
405;Ben Affleck;435,841,100;5;87,168,220
406;Arthur Hiller;432,875,303;17;25,463,253
407;Michael Gracey;432,751,430;3;144,250,477
408;Bradley Cooper;431,870,523;2;215,935,262
409;Joel Zwick;428,453,590;4;107,113,398
410;Jean-Pierre Jeunet;426,872,100;8;53,359,013
411;Marc Lawrence;426,607,649;5;85,321,530
412;Clyde Geronimi;426,357,604;4;106,589,401
413;Victor Fleming;425,474,674;3;141,824,891
414;George P. Cosmatos;424,545,859;8;53,068,232
415;Bilall Fallah;424,536,881;3;141,512,294
416;Adil El Arbi;424,536,881;3;141,512,294
417;Alex Kurtzman;422,571,377;2;211,285,689
418;Jimmy Hayward;420,887,654;3;140,295,885
419;Takashi Yamazaki;419,467,217;13;32,266,709
420;Brian Helgeland;413,704,605;5;82,740,921
421;Frank Darabont;413,616,222;5;82,723,244
422;David Soren;413,319,527;3;137,773,176
423;Jason Friedberg;413,130,983;10;41,313,098
424;Steve Oedekerk;412,611,461;4;103,152,865
425;Sam Wood;408,325,192;3;136,108,397
426;Lawrence Kasdan;406,557,072;11;36,959,734
427;Mikael Hafstrom;405,268,356;7;57,895,479
428;Michael Lembeck;404,902,493;8;50,612,812
429;Thor Freudenthal;403,288,390;4;100,822,098
430;Craig Gillespie;402,195,797;6;67,032,633
431;Mike Thurmeier;402,156,682;1;402,156,682
432;Ken Kwapis;401,624,979;10;40,162,498
433;Leonard Nimoy;401,387,573;6;66,897,929
434;Ol Parker;401,378,052;4;100,344,513
435;Pedro Almodovar;400,943,638;21;19,092,554
436;Bibo Bergeron;398,741,342;2;199,370,671
437;Stanley Tong;398,038,269;7;56,862,610
438;Simon Wells;397,949,526;7;56,849,932
439;Eli Roth;395,680,020;10;39,568,002
440;Stanley Kubrick;395,015,688;12;32,917,974
441;Mel Brooks;393,153,971;10;39,315,397
442;Xing Wenxiong;393,014,756;1;393,014,756
443;Elizabeth Banks;391,559,946;7;55,937,135
444;Cate Shortland;384,474,576;4;96,118,644
445;Stephen Daldry;384,079,560;9;42,675,507
446;Brian Fee;383,541,369;1;383,541,369
447;John Hamburg;382,793,278;5;76,558,656
448;Adam Robitel;382,392,946;4;95,598,237
449;Sidney Lumet;381,428,918;28;13,622,461
450;Jill Culton;380,592,398;2;190,296,199
451;Bruce Beresford;379,597,822;27;14,059,179
452;George Clooney;379,485,128;8;47,435,641
453;Albert Hughes;379,227,500;7;54,175,357
454;Kathryn Bigelow;378,863,264;9;42,095,918
455;Sam Fell;377,959,105;4;94,489,776
456;John Pasquin;376,239,359;4;94,059,840
457;Bob Persichetti;375,516,704;1;375,516,704
458;Rodney Rothman;375,516,704;1;375,516,704
459;Kirk Jones;373,717,279;5;74,743,456
460;Don Bluth;369,412,107;10;36,941,211
461;Michel Gondry;368,558,729;12;30,713,227
462;Tom Dey;368,437,431;5;73,687,486
463;Pierre Morel;367,960,027;6;61,326,671
464;Simon J. Smith;366,942,531;1;366,942,531
465;Lu Yang;366,917,797;3;122,305,932
466;Steve Miner;366,898,368;14;26,207,026
467;Corin Hardy;365,474,388;3;121,824,796
468;Ralph Zondag;365,463,639;2;182,731,820
469;Peter Lord;363,937,520;2;181,968,760
470;Glenn Ficarra;362,924,448;6;60,487,408
471;John Requa;362,924,448;6;60,487,408
472;Frank Marshall;362,449,008;6;60,408,168
473;Stephen Chbosky;361,862,326;4;90,465,582
474;Jon Lucas;360,993,044;5;72,198,609
475;Scott Moore;360,993,044;5;72,198,609
476;Tom Tykwer;360,284,734;10;36,028,473
477;Stephen Gaghan;356,279,698;4;89,069,925
478;Eric Leighton;356,148,063;1;356,148,063
479;Penelope Spheeris;356,086,482;11;32,371,498
480;Michael Moore;354,058,852;11;32,187,168
481;James Wong;354,035,504;4;88,508,876
482;Lawrence Guterman;353,157,863;2;176,578,932
483;Clay Kaytis;352,327,887;2;176,163,944
484;Fergal Reilly;352,327,887;1;352,327,887
485;Josh Boone;351,897,383;3;117,299,128
486;Hal Needham;350,465,707;10;35,046,571
487;Hugh Wilson;347,622,020;8;43,452,753
488;Alan Parker;347,603,739;14;24,828,839
489;Warren Beatty;344,613,687;5;68,922,737
490;Michael Caton-Jones;344,324,571;12;28,693,714
491;Noam Murro;342,435,670;2;171,217,835
492;Steven Brill;340,478,394;9;37,830,933
493;Michael Ritchie;339,966,005;17;19,998,000
494;Paul Thomas Anderson;339,641,098;9;37,737,900
495;Peter Hewitt;336,023,821;8;42,002,978
496;Joe Carnahan;335,996,059;10;33,599,606
497;Jonathan Frakes;334,820,272;6;55,803,379
498;Robert Altman;334,567,594;22;15,207,618
499;Chao Deng;333,329,075;3;111,109,692
500;Baimei Yu;333,329,075;3;111,109,692
501;Randall Wallace;332,916,234;4;83,229,059
502;Richard Curtis;332,651,725;3;110,883,908
503;Peter Faiman;332,474,528;2;166,237,264
504;Jon Avnet;332,248,813;8;41,531,102
505;Rob Bowman;331,011,050;4;82,752,763
506;Alexandre Aja;330,204,458;10;33,020,446
507;Chris McKay;329,790,560;5;65,958,112
508;Olivier Magaton;327,656,424;1;327,656,424
509;Gary Winick;327,346,184;6;54,557,697
510;Howard Deutch;326,558,383;10;32,655,838
511;Allen Hughes;326,442,664;9;36,271,407
512;Richard Linklater;324,121,253;21;15,434,345
513;Wayne Wang;323,421,384;17;19,024,787
514;Michael Chaves;323,405,584;2;161,702,792
515;John Hughes;322,270,786;8;40,283,848
516;Jonathan Levine;322,174,268;7;46,024,895
517;James DeMonaco;321,316,189;5;64,263,238
518;Steven Quale;319,727,892;5;63,945,578
519;Greg Mottola;319,570,985;8;39,946,373
520;Beeban Kidron;318,601,467;5;63,720,293
521;Jose Padilha;316,917,988;4;79,229,497
522;Roger Kumble;315,684,194;8;39,460,524
523;Miloš Forman;315,580,403;9;35,064,489
524;Ron Shelton;315,251,774;9;35,027,975
525;Andrew Niccol;314,168,662;7;44,881,237
526;Christopher Landon;312,400,900;7;44,628,700
527;Nitesh Tiwari;312,196,887;4;78,049,222
528;David Lam;311,076,548;6;51,846,091
529;Paul Tibbitt;311,013,181;1;311,013,181
530;Josh Gordon;310,550,887;5;62,110,177
531;Will Speck;310,550,887;5;62,110,177
532;Stephen Norrington;310,502,892;2;155,251,446
533;Phil Alden Robinson;310,490,792;5;62,098,158
