duration	nudity	violence	profanity	alcohol	frightening	budget	worldwide_gross	is_Action	is_Adult	is_Adventure	is_Animation	is_Biography	is_Comedy	is_Crime	is_Drama	is_Family	is_Fantasy	is_Film-Noir	is_Horror	is_History	is_Music	is_Mystery	is_Romance	is_Sci-Fi	is_Sport	is_Thriller	is_War	is_Western	total_star_score
136	Mild	Moderate	Moderate	Mild	Moderate	250000000	1236005118	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	227
132	None	Moderate	Mild	Mild	Mild	200000000	432243292	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3146
98	None	Mild	None	None	Mild	180000000	521311890	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3278
102	None	Mild	None	None	Mild	165000000	657869686	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3168
147	None	Moderate	Moderate	None	Moderate	178000000	791657398	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	811
124	None	Mild	None	Mild	Moderate	130000000	459242249	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2485
88	Mild	Mild	Mild	Mild	Mild	75000000	443140005	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2112
125	Mild	Mild	Moderate	Mild	None	25000000	441286195	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1995
106	Moderate	Mild	Severe	Severe	None	50000000	549368315	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2923
187	Mild	Moderate	Mild	Mild	Moderate	207000000	556906378	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2930
127	Mild	Moderate	Moderate	None	Moderate	22000000	505703557	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	3208
98	None	Mild	None	None	Mild	165000000	494879471	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2443
149	Mild	Moderate	Mild	Mild	Moderate	125000000	760006945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1909
92	Mild	Mild	Mild	Mild	Mild	60000000	365352546	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2888
